,sentence,entity,score
1,　　除了360借壳公司江南嘉捷，其余9只牛股去年前三季度净利润同比实现增长，其中，鸿特精密、方大炭素、鲁西化工、隆基股份、赣锋锂业、新城控股、士兰微去年前三季度归属于母公司股东的净利润实现翻倍；鸿特精密去年三季度净利润为2.81亿元，同比增长772.29%；方大炭素净利润为20.19亿元，同比增长2463.89%,"['江南嘉捷', '鸿特精密', '方大炭素', '鲁西化工', '隆基股份', '赣锋锂业', '新城控股', '士兰微']","[1, 1, 1, 1, 1, 1, 1, 1]"
8,　　去年涨幅排名第三的方大炭素，受石墨烯价格上涨的影响，股价全年上涨212.48%，去年三季度末重仓该股的基金有40只；鲁西化工股价也稳步攀升，去年涨幅为184.79%，去年三季度末重仓该股的基金共30只,"['方大炭素', '鲁西化工']","[1, 1]"
0,当日分类指数上，上证180指数、相对较强，而代表性品种贵州茅台(600519)、中国平安(港股02318)等护盘迹象明显,"['贵州茅台', '中国平安']","[1, 1]"
10,美的集团2017年累计涨幅102.51%，排名居首；中国平安累计涨幅101.46%，紧随其后,"['美的集团', '中国平安']","[1, 1]"
1,　　而资金净流入方面，7月份以来，在上述102只个股中， 共有38只个股呈现大单资金净流入态势，27只个股累计大单资金净流入超1000万元，而中信证券(158011.21万元)、(59551.83万元)、(55326.97万元)、厦门钨业(47970.04万元)、驰宏锌锗(21420.5万元)、长城汽车(20155.48万元)、(18636.52万元)、隆鑫通用(13861.49万元)等8只个股期间大单资金净流入过亿元，上述8只个股期间累计大单资金净流入约39.49亿元,"['中信证券', '厦门钨业', '驰宏锌锗', '长城汽车', '隆鑫通用']","[1, 1, 1, 1, 1]"
3,安徽水利、千禾味业、恒力股份、涪陵榨菜、诚志股份、华泰股份、五洲交通等7家公司2017年研发费用总额同比增长均在200%以上,"['安徽水利', '千禾味业', '恒力股份', '涪陵榨菜', '诚志股份', '华泰股份', '五洲交通']","[1, 1, 1, 1, 1, 1, 1]"
2,如，富德生命人寿、安邦财险、安邦人寿、华夏保险等险企投资账户，分别位列金地集团第一、三、四、六大股东；和谐健康与安邦人寿投资账户位列金融街第二大和第三大股东；天安财险与华夏保险投资账户分别位列新黄浦第六大和第八大股东；两只投资账户分别位列于城投控股第五大和第六大股东；人保财险与信泰保险投资账户则分列京能电力第六大和第十大股东,"['金地集团', '金融街', '新黄浦', '城投控股', '京能电力']","[0, 0, 0, 0, 0]"
11,　　龙虎榜数据显示，珠海港的买一营业部为光大证券佛山季华六路营业部，新浪财经大数据中心统计显示，此营业部在3个月内登陆龙虎榜41次，买入后3天的上涨概率高达56.10%,"['珠海港', '光大证券']","[1, 1]"
1,滞涨股方面，南极电商、、三七互娱等个股反弹幅度均不足5%,"['南极电商', '三七互娱']","[-1, -1]"
9,　　桐昆股份方面，国海证券表示，公司2017年业绩符合预期，持续内生增长+参股浙石化，盈利有望再上台阶,"['桐昆股份', '国海证券']","[1, 0]"
0,其中，赣锋锂业、、美晨科技、东方园林和蒙草生态预计2016年净利润同比增长均在100%以上，分别为：450.00%、140.00%、125.72%、115.00%和110.00%,"['赣锋锂业', '美晨科技', '东方园林', '蒙草生态']","[1, 1, 1, 1]"
2,其中，东方园林、金禾实业、利亚德、铁汉生态和浙江仙通等5只个股最新收盘价较机构预测目标价仍有30%以上的上涨空间，分别为：116.28%、41.11%、39.34%、32.29%和31.10%；另外，华东医药、弘亚数控、东阿阿胶、伟星新材、京蓝科技目标涨幅也较为居前，均在20%以上，分别为：29.39%、21.79%、21.32%、20.83%和20.59%,"['东方园林', '金禾实业', '利亚德', '铁汉生态', '浙江仙通', '华东医药', '东阿阿胶', '伟星新材', '京蓝科技']","[1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,何雪萍为A股市场上较为活跃的牛散，从持股情况来分析，其三季度的布局中较为偏重医药股，有千山药机、紫鑫药业、康芝药业等三只个股，按持股市值来看，第一大重仓股为千山药机，持有流通市值超过5亿元，占其全部持股市值的比例超过三成,"['千山药机', '紫鑫药业', '康芝药业']","[1, 1, 1]"
4,　　此外，博迈科预计年报业绩下滑65.67%，预减幅度较高，同时天能重工、、和的预减幅度也均达到60%，业绩预减幅度排名均较为靠前,"['博迈科', '天能重工']","[-1, -1]"
6,　　A股市场上，中信一级农林牧渔板块报涨2.07%，东陵国际、新五丰、敦煌种业、农发种业等12股全部涨停,"['新五丰', '敦煌种业', '农发种业']","[1, 1, 1]"
2,其中，北巴传媒被新进，、、、4家被增持，、楚天高速、、4家持平，、、招商轮船、4家被减持,"['北巴传媒', '楚天高速', '招商轮船']","[1, 0, -1]"
3,其中，、真视通、、万孚生物获得机构资金净买入，净买入金额分别为1216.75万元、831.14万元、531.62万元%、4090.17万元,"['真视通', '万孚生物']","[1, 1]"
3,　　数据显示，除恒瑞医药外，、、康美药业3只净利润连续增长的个股近十年股价涨幅也超过10倍；、、、贵州茅台4只个股涨幅均超过5倍,"['恒瑞医药', '康美药业', '贵州茅台']","[1, 1, 1]"
3,其中，先导智能、、、英洛华、、韶钢松山、天海防务、、滨化股份、长生生物等10只绩优股上周大单资金累计净流入超1000万元，合计吸金6.87亿元,"['先导智能', '英洛华', '韶钢松山', '天海防务', '滨化股份', '长生生物']","[1, 1, 1, 1, 1, 1]"
1,、三夫户外、中新科技、、、等多股涨停,"['三夫户外', '中新科技']","[1, 1]"
0,　　在良好走势的催化下，市场中大单资金也纷纷对新零售板块积极关注，综合来看，月内共有19只个股处于大单资金状态，其中，苏宁易购(47056.97万元)、永辉超市(17547.15万元)两只龙头股吸金最为显著，月内均获1亿元以上大单资金青睐，王府井(7972.59万元)、(4382.46万元)、(2742.73万元)、家家悦(2221.36万元)、爱仕达(1672.93万元)等5只个股也均受到1000万元以上大单资金追捧，以上7只个股月内共计吸金8.36亿元,"['永辉超市', '王府井', '家家悦', '爱仕达']","[1, 1, 1, 1]"
7,　　招商证券认为贵州茅台2017年报表靓丽收尾，超预增公告指引，从发货量和吨价指标来看，均超预期增长,"['招商证券', '贵州茅台']","[0, 1]"
1,其中，浙能电力、东方锆业盘中涨幅超3%，中广核技(000881)、应流股份等盘中上涨2%以上,"['浙能电力', '东方锆业', '中广核技', '应流股份']","[1, 1, 1, 1]"
8,另外，建议关注核岛设备供应商上海电气、东方电气、海陆重工(002255)、纽威股份等,"['上海电气', '东方电气', '海陆重工', '纽威股份']","[1, 1, 1, 1]"
0,这从科大讯飞、川大智胜等股票的强势上涨可以看出，热钱涌向跟AI有关的行业,"['科大讯飞', '川大智胜']","[1, 1]"
1,其中，彩虹股份的控股股东减持400万股，*ST宜纸的第一大股东减持100万股，湖南海利第一大股东减持243.5万股，华阳科技的控股股东减持302万股,"['彩虹股份', '湖南海利']","[-1, -1]"
2,其中，、方正电机、、金洲管道等被增持的比例较高,"['方正电机', '金洲管道']","[1, 1]"
1,　　另外，险资二季度增持了11家公司股票，其中，中钢国际(2073.68万股)、西山煤电(1243.99万股)、喜临门(809.87万股)、辉丰股份(422.26万股)、承德露露(411.26万股)、康尼机电(330.28万股)和海康威视(211.96万股)等7家公司股票险资增持股份数量居前，均在200万股以上，增持后的险资总持股数量依次为3152.49万股、3043.99万股、1150.79万股、1874.96万股、8898.72万股、1107.39万股和4017.02万股,"['中钢国际', '西山煤电', '喜临门', '辉丰股份', '承德露露', '康尼机电', '海康威视']","[1, 1, 1, 1, 1, 1, 1]"
2,　　此外，中青宝和绿景控股属于重组类品种，先后停牌,"['中青宝', '绿景控股']","[0, 0]"
3,这些个股中，除宁波银行、陕国投A、光电股份外，其余个股最新市值均在百亿元以下，其中5只个股低于50亿元,"['宁波银行', '陕国投', '光电股份']","[0, 0, 0]"
6,　　与12只被清仓品种中仅有两只市值过亿不同，上述3只个股的持仓量均较大，海亮股份达3.64亿元，明牌珠宝为2.66亿元，最少的青松股份也近1亿元,"['海亮股份', '明牌珠宝', '青松股份']","[0, 0, 0]"
6,除山东钢铁外，西部矿业(747.21%)、西山煤电(739.33%)、万华化学(255.35%)和兴源环境(116.13%)等个股中报业绩同比也实现翻番，在中报正处密集披露的时间窗口下，这些绩优股或具备更高的上涨潜力,"['山东钢铁', '西部矿业', '西山煤电', '万华化学', '兴源环境']","[1, 1, 1, 1, 1]"
1,延华智能、、银邦股份、、、、等7家公司均推出了高送转方案，占比近六成,"['延华智能', '银邦股份']","[1, 1]"
